locatie;waarnemingssoort;datum;tijd;bepalingsgrenscode;waarde;eenheid;hoedanigheid;anamet;ogi;vat;bemhgt;refvlk;EPSG;x/lat;y/long;orgaan;biotaxon (cijfercode,biotaxon omschrijving,biotaxon Nederlandse naam)
Olst;Debiet in m3/s in oppervlaktewater;2000-01-01;00:00;;964;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-02;00:00;;941;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-03;00:00;;881;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-04;00:00;;811;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-05;00:00;;773;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-06;00:00;;737;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-07;00:00;;685;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-08;00:00;;644;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-09;00:00;;604;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-10;00:00;;567;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-11;00:00;;534;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-12;00:00;;508;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-13;00:00;;489;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-14;00:00;;483;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-15;00:00;;474;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-16;00:00;;452;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-17;00:00;;431;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-18;00:00;;414;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-19;00:00;;391;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-20;00:00;;373;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-21;00:00;;361;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-22;00:00;;357;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-23;00:00;;352;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
Olst;Debiet in m3/s in oppervlaktewater;2000-01-24;00:00;;346;m3/s;NVT;Debiet uit afvoerkromme (Q/H- of Q/HH-relatie);Nationaal;NVT;NVT;NVT;7415;203880;484030;NVT;NVT,NVT,Niet van toepassing
